image_path                                 ,label_path
dlt_32N_07/images/32N-12E-230N_01_15/07.tif,dlt_32N_07/labels/32N-12E-230N_01_15/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_17/07.tif,dlt_32N_07/labels/32N-12E-230N_01_17/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_21/07.tif,dlt_32N_07/labels/32N-12E-230N_01_21/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_23/07.tif,dlt_32N_07/labels/32N-12E-230N_01_23/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_25/07.tif,dlt_32N_07/labels/32N-12E-230N_01_25/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_31/07.tif,dlt_32N_07/labels/32N-12E-230N_01_31/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_35/07.tif,dlt_32N_07/labels/32N-12E-230N_01_35/dlt.tif
dlt_32N_07/images/32N-12E-230N_01_37/07.tif,dlt_32N_07/labels/32N-12E-230N_01_37/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_10/07.tif,dlt_32N_07/labels/32N-12E-230N_02_10/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_12/07.tif,dlt_32N_07/labels/32N-12E-230N_02_12/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_14/07.tif,dlt_32N_07/labels/32N-12E-230N_02_14/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_16/07.tif,dlt_32N_07/labels/32N-12E-230N_02_16/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_20/07.tif,dlt_32N_07/labels/32N-12E-230N_02_20/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_22/07.tif,dlt_32N_07/labels/32N-12E-230N_02_22/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_24/07.tif,dlt_32N_07/labels/32N-12E-230N_02_24/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_28/07.tif,dlt_32N_07/labels/32N-12E-230N_02_28/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_32/07.tif,dlt_32N_07/labels/32N-12E-230N_02_32/dlt.tif
dlt_32N_07/images/32N-12E-230N_02_34/07.tif,dlt_32N_07/labels/32N-12E-230N_02_34/dlt.tif
dlt_32N_07/images/32N-12E-230N_03_15/07.tif,dlt_32N_07/labels/32N-12E-230N_03_15/dlt.tif
dlt_32N_07/images/32N-12E-230N_03_23/07.tif,dlt_32N_07/labels/32N-12E-230N_03_23/dlt.tif
dlt_32N_07/images/32N-12E-230N_03_25/07.tif,dlt_32N_07/labels/32N-12E-230N_03_25/dlt.tif
dlt_32N_07/images/32N-12E-230N_03_27/07.tif,dlt_32N_07/labels/32N-12E-230N_03_27/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_08/07.tif,dlt_32N_07/labels/32N-12E-230N_04_08/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_12/07.tif,dlt_32N_07/labels/32N-12E-230N_04_12/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_14/07.tif,dlt_32N_07/labels/32N-12E-230N_04_14/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_16/07.tif,dlt_32N_07/labels/32N-12E-230N_04_16/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_20/07.tif,dlt_32N_07/labels/32N-12E-230N_04_20/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_24/07.tif,dlt_32N_07/labels/32N-12E-230N_04_24/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_26/07.tif,dlt_32N_07/labels/32N-12E-230N_04_26/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_28/07.tif,dlt_32N_07/labels/32N-12E-230N_04_28/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_30/07.tif,dlt_32N_07/labels/32N-12E-230N_04_30/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_32/07.tif,dlt_32N_07/labels/32N-12E-230N_04_32/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_34/07.tif,dlt_32N_07/labels/32N-12E-230N_04_34/dlt.tif
dlt_32N_07/images/32N-12E-230N_04_36/07.tif,dlt_32N_07/labels/32N-12E-230N_04_36/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_11/07.tif,dlt_32N_07/labels/32N-12E-230N_05_11/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_15/07.tif,dlt_32N_07/labels/32N-12E-230N_05_15/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_17/07.tif,dlt_32N_07/labels/32N-12E-230N_05_17/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_19/07.tif,dlt_32N_07/labels/32N-12E-230N_05_19/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_21/07.tif,dlt_32N_07/labels/32N-12E-230N_05_21/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_23/07.tif,dlt_32N_07/labels/32N-12E-230N_05_23/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_25/07.tif,dlt_32N_07/labels/32N-12E-230N_05_25/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_29/07.tif,dlt_32N_07/labels/32N-12E-230N_05_29/dlt.tif
dlt_32N_07/images/32N-12E-230N_05_31/07.tif,dlt_32N_07/labels/32N-12E-230N_05_31/dlt.tif
